inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,1,24,0,155,1,1,0,1,0,0,0,in0 < CONST_0
2,2,35,0,225,1,2,0,2,0,0,0,in1 < CONST_0 && in0 < CONST_0
3,3,46,0,225,1,3,0,3,0,0,0,in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
4,4,57,0,225,1,4,0,4,0,0,0,in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
5,5,68,0,225,1,5,0,5,0,0,0,in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
6,6,79,0,225,1,6,0,6,0,0,0,in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
7,7,90,0,225,1,7,0,7,0,0,0,in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
8,8,101,0,225,1,8,0,8,0,0,0,in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
9,9,112,0,225,1,9,0,9,0,0,0,in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
10,10,123,0,225,1,10,0,10,0,0,0,in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
11,11,134,0,225,1,11,0,11,0,0,0,in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
12,12,145,0,355,1,12,0,12,0,0,0,in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
13,13,156,0,355,1,13,0,13,0,0,0,in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
14,14,167,0,355,1,14,0,14,0,0,0,in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
15,15,178,0,355,1,15,0,15,0,0,0,in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
16,16,189,0,355,1,16,0,16,0,0,0,in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
17,17,200,0,355,1,17,0,17,0,0,0,in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
18,18,211,0,355,1,18,0,18,0,0,0,in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
19,19,222,0,355,1,19,0,19,0,0,0,in18 < CONST_0 && in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
20,20,233,0,355,1,20,0,20,0,0,0,in19 < CONST_0 && in18 < CONST_0 && in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
21,21,244,0,356,1,21,0,21,0,0,0,in20 < CONST_0 && in19 < CONST_0 && in18 < CONST_0 && in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
22,22,255,0,356,1,22,0,22,0,0,0,in21 < CONST_0 && in20 < CONST_0 && in19 < CONST_0 && in18 < CONST_0 && in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
23,23,266,0,356,1,23,0,23,0,0,0,in22 < CONST_0 && in21 < CONST_0 && in20 < CONST_0 && in19 < CONST_0 && in18 < CONST_0 && in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
24,24,277,0,356,1,24,0,24,0,0,0,in23 < CONST_0 && in22 < CONST_0 && in21 < CONST_0 && in20 < CONST_0 && in19 < CONST_0 && in18 < CONST_0 && in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
25,25,288,0,356,1,25,0,25,0,0,0,in24 < CONST_0 && in23 < CONST_0 && in22 < CONST_0 && in21 < CONST_0 && in20 < CONST_0 && in19 < CONST_0 && in18 < CONST_0 && in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
26,26,299,0,356,1,26,0,26,0,0,0,in25 < CONST_0 && in24 < CONST_0 && in23 < CONST_0 && in22 < CONST_0 && in21 < CONST_0 && in20 < CONST_0 && in19 < CONST_0 && in18 < CONST_0 && in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
27,27,310,0,356,1,27,0,27,0,0,0,in26 < CONST_0 && in25 < CONST_0 && in24 < CONST_0 && in23 < CONST_0 && in22 < CONST_0 && in21 < CONST_0 && in20 < CONST_0 && in19 < CONST_0 && in18 < CONST_0 && in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
28,28,321,0,356,1,28,0,28,0,0,0,in27 < CONST_0 && in26 < CONST_0 && in25 < CONST_0 && in24 < CONST_0 && in23 < CONST_0 && in22 < CONST_0 && in21 < CONST_0 && in20 < CONST_0 && in19 < CONST_0 && in18 < CONST_0 && in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
29,29,332,0,356,1,29,0,29,0,0,0,in28 < CONST_0 && in27 < CONST_0 && in26 < CONST_0 && in25 < CONST_0 && in24 < CONST_0 && in23 < CONST_0 && in22 < CONST_0 && in21 < CONST_0 && in20 < CONST_0 && in19 < CONST_0 && in18 < CONST_0 && in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
30,30,343,0,414,1,30,0,30,0,0,0,in29 < CONST_0 && in28 < CONST_0 && in27 < CONST_0 && in26 < CONST_0 && in25 < CONST_0 && in24 < CONST_0 && in23 < CONST_0 && in22 < CONST_0 && in21 < CONST_0 && in20 < CONST_0 && in19 < CONST_0 && in18 < CONST_0 && in17 < CONST_0 && in16 < CONST_0 && in15 < CONST_0 && in14 < CONST_0 && in13 < CONST_0 && in12 < CONST_0 && in11 < CONST_0 && in10 < CONST_0 && in9 < CONST_0 && in8 < CONST_0 && in7 < CONST_0 && in6 < CONST_0 && in5 < CONST_0 && in4 < CONST_0 && in3 < CONST_0 && in2 < CONST_0 && in1 < CONST_0 && in0 < CONST_0
